iter	Passed	Remaining
639	590251	332016
640	591177	331096
641	592081	330163
642	592978	329227
643	593899	328304
644	594799	327370
645	595717	326445
646	596623	325515
647	597552	324596
648	598463	323668
649	599373	322739
650	600279	321808
651	602323	321485
652	603218	320546
653	604110	319605
654	605021	318675
655	605926	317742
656	606819	316802
657	607732	315872
658	608634	314938
659	609545	314008
660	610433	313066
661	611339	312134
662	612241	311199
663	613140	310263
664	614057	309337
665	614970	308408
666	615873	307475
667	616780	306543
668	617676	305606
669	618576	304672
670	619483	303740
671	620379	302804
672	621283	301871
673	622171	300931
674	623072	299998
675	623967	299061
676	624879	298133
677	625793	297205
678	626693	296271
679	627747	295410
680	628708	294505
681	629648	293589
682	630639	292697
683	631619	291801
684	632891	291037
685	633893	290149
686	634890	289258
687	635879	288363
688	636887	287477
689	637822	286558
690	638710	285617
691	639600	284677
692	640501	283742
693	641385	282800
694	642341	281890
695	643451	281047
696	644368	280120
697	645272	279186
698	646177	278253
699	647070	277315
700	647990	276389
701	648924	275469
702	649829	274536
703	650731	273602
704	651626	272666
705	652523	271730
706	653413	270792
707	654297	269851
708	655207	268921
709	656092	267981
710	656994	267048
711	658274	266268
712	659213	265349
713	660112	264414
714	660984	263469
715	661883	262534
716	662807	261610
717	663700	260673
718	664559	259723
719	665462	258790
720	666367	257859
721	667244	256916
722	668159	255989
723	669057	255054
724	669956	254121
725	670831	253178
726	671715	252239
727	672853	251395
728	673722	250451
729	674617	249516
730	675502	248577
731	676375	247634
732	677272	246700
733	678170	245767
734	679066	244833
735	679957	243897
736	680834	242957
737	681737	242026
738	682629	241091
739	683534	240160
740	684437	239229
741	685344	238300
742	686236	237365
743	687160	236442
744	688278	235585
745	689176	234652
746	690078	233721
747	690975	232788
748	691874	231856
749	692785	230928
750	693683	229996
751	694578	229062
752	695471	228129
753	696367	227196
754	697266	226265
755	698157	225331
756	699060	224401
757	699971	223473
758	700861	222539
759	701761	221608
760	702944	220767
761	703848	219837
762	704747	218905
763	705650	217975
764	706530	217038
765	707423	216105
766	708336	215179
767	709229	214246
768	710121	213313
769	711023	212383
770	711922	211453
771	712817	210521
772	713726	209593
773	714605	208657
774	715489	207722
775	716362	206785
776	717340	205877
777	718588	205046
778	719509	204122
779	720420	203195
780	721322	202265
781	722245	201341
782	723138	200410
783	724028	199477
784	724919	198544
785	725807	197611
786	726710	196682
787	727599	195750
788	728473	194813
789	729363	193881
790	730263	192951
791	731143	192017
792	732032	191085
793	733122	190205
794	734020	189275
795	734899	188341
796	735801	187412
797	736715	186486
798	737594	185552
799	738481	184620
800	739376	183690
801	740283	182763
802	741167	181830
803	742078	180904
804	742980	179976
805	743855	179042
806	744746	178111
807	745631	177179
808	746526	176250
809	747621	175367
810	748570	174451
811	749458	173519
812	750350	172589
813	751232	171657
814	752128	170728
815	753026	169800
816	753910	168868
817	754802	167938
818	755689	167008
819	756596	166082
820	757487	165152
821	758371	164221
822	759247	163288
823	760130	162357
824	761035	161431
825	761953	160508
826	763054	159623
827	763950	158694
828	764843	157766
829	765725	156835
830	766602	155903
831	767488	154973
832	768372	154043
833	769254	153112
834	770158	152186
835	771044	151257
836	771936	150329
837	772828	149401
838	773707	148470
839	774620	147546
840	775500	146616
841	776384	145687
842	777418	144786
843	778426	143879
844	779329	142954
845	780207	142023
846	781118	141099
847	782011	140171
848	782937	139250
849	783823	138321
850	784720	137395
851	785614	136468
852	786513	135542
853	787414	134616
854	788303	133688
855	789188	132760
856	790092	131835
857	790978	130907
858	791878	129982
859	793208	129126
860	794177	128212
861	795077	127286
862	795971	126359
863	796865	125432
864	797774	124508
865	798669	123581
866	799568	122655
867	800467	121730
868	801378	120806
869	802263	119878
870	803160	118952
871	804041	118024
872	804943	117099
873	805857	116176
874	806740	115248
875	807873	114356
876	808768	113430
877	809662	112504
878	810559	111578
879	811443	110651
880	812349	109727
881	813263	108803
882	814145	107876
883	815052	106952
884	815934	106025
885	816824	105099
